Time (s),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
399.996395,-2.550065517425537,0,0,0,0.07942110300064087
400.996395,-2.684434413909912,0,0,0,0.07581743597984314
401.996395,-2.523850440979004,0,0,0,0.0807691216468811
402.996395,-2.208702802658081,0,0,0,0.09207449108362198
403.996395,-2.221789598464966,0,0,0,0.09145191311836243
404.996395,-2.140070915222168,0,0,0,0.0949162095785141
405.996395,-2.34950852394104,0,0,0,0.08615445345640182
406.996395,-2.4498729705810547,0,0,0,0.08365096151828766
407.996395,-2.3498568534851074,0,0,0,0.08687544614076614
408.996395,-2.461652994155884,0,0,0,0.0827879086136818
409.996395,-2.3272697925567627,0,0,0,0.08761074393987656
410.996395,-2.760326862335205,0,0,0,0.0741155743598938
411.996395,-2.157426595687866,0,0,0,0.09491395950317383
412.996395,-2.501458168029785,0,0,0,0.08177275210618973
413.996395,-2.2595739364624023,0,0,0,0.08968277275562286
414.996395,-2.379047155380249,0,0,0,0.08532562851905823
415.996395,-2.4415230751037598,0,0,0,0.08310751616954803
416.996395,-2.4327070713043213,0,0,0,0.08348040282726288
417.996395,-2.049872398376465,0,0,0,0.09857501089572906
418.996395,-2.4967799186706543,0,0,0,0.08121057599782944
419.996395,-2.5536420345306396,0,0,0,0.08029802143573761
420.996395,-2.5934455394744873,0,0,0,0.07863671332597733
421.996395,-2.738940954208374,0,0,0,0.07427673041820526
422.996395,-2.7893025875091553,0,0,0,0.0731617733836174
423.996395,-2.3094537258148193,0,0,0,0.08875191956758499
424.996395,-2.578382968902588,0,0,0,0.07935521751642227
425.996395,-2.677211284637451,0,0,0,0.07558312267065048
426.996395,-2.446817398071289,0,0,0,0.08324182033538818
427.996395,-2.6128556728363037,0,0,0,0.07806391268968582
428.996395,-2.808562755584717,0,0,0,0.07262149453163147
429.996395,-2.6686367988586426,0,0,0,0.07684672623872757
